Country,Country Code,Year,Mental disorders,% Eating disorders,% Anxiety disorders,% Drug disorders,% Depressive disorders,%HappyPeople,Annual working hours per worker,GDP,Depressive disorders,Physical Activity,Drug use,Smoking,Life satisfaction,% people who are happy_y,Population,Productivity per hour worked,Region 1,Region 2,Continent,Paid work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
Indonesia,IDN,1998,0.1085,0.0009,0.0352,0.0044,0.0246,,1956.473,3943.8677,0.0246,242368.2,293743.54,4290154.02,,,207855488.0,4.7448893,South-eastern Asia,,Asia,,,,,,,,,,,,,,
Iran,IRN,1998,0.1889,0.0021,0.0735,0.0067,0.0467,,,6865.6553,0.0467,162378.67,256817.06,836180.06,,,63461424.0,,,,,,,,,,,,,,,,,,
Iraq,IRQ,1998,0.1489,0.0017,0.0526,0.0042,0.0381,,,6786.913,0.0381,92665.37,46732.16,488690.27,,,23053490.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Ireland,IRL,1998,0.1705,0.0038,0.0693,0.0124,0.0458,0.89031769,1953.1941,33236.836,0.0458,18306.03,14713.8,184083.75,,,3678670.0,41.376198,Northern Europe,,Europe,231.22452,36.73677,60.75594,90.74858,27.56674,71.742231,491.2542,75.38656,42.27291,20.02075,41.72778,48.95445,85.1351,116.4735
Israel,ISR,1998,0.1467,0.0034,0.036,0.0076,0.0509,,2015.4592,31693.592,0.0509,18860.01,12664.61,155248.67,,,5869504.0,36.30148,Western Asia,,Asia,,,,,,,,,,,,,,
Italy,ITA,1998,0.1473,0.0057,0.0539,0.0135,0.0418,0.73319756,1873.1329,34237.78,0.0418,256525.7,348576.91,2574395.82,,,56938736.0,46.576984,Southern Europe,,Europe,148.894551667369,27.8145064944904,26.6215093373906,134.714272650929,27.7427282210164,43.1455966873868,513.32088598243,126.974854655019,67.5124773650722,38.2140859775021,5.82331255466776,65.3572067967137,103.692722108948,110.171289501065
Jamaica,JAM,1998,0.1369,0.002,0.0406,0.0106,0.0304,,1999.2107,5717.9023,0.0304,9333.79,4179.33,37711.72,,,2576569.0,7.818909,Caribbean,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Japan,JPN,1998,0.1079,0.004,0.0286,0.0082,0.0224,,1866.5,37128.617,0.0224,249387.36,376277.2,4843324.82,,0.89089188,126308392.0,37.549026,Eastern Asia,,Asia,325.711372400686,36.98,0.0,80.3704725353802,24.9289075041054,97.7241826669373,442.020937505766,93.4542179456428,84.5629608649925,10.2225999594073,,16.912066166024,103.224657268853,147.953249257339
Jordan,JOR,1998,0.1566,0.0018,0.0508,0.0038,0.0476,,,3739.8901,0.0476,9678.6,5393.09,69836.38,,,4844416.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Kazakhstan,KAZ,1998,0.1088,0.0013,0.0224,0.008,0.0371,,,5654.1704,0.0371,51744.07,102309.24,812060.27,,,15474257.0,,Central Asia,,Asia,,,,,,,,,,,,,,
